day,score
2019-11-04,2425.0
2019-11-05,2606.0
2019-11-06,-15204.0
2019-11-07,-4566.0
2019-11-08,-4152.0
2019-11-09,1679.0
2019-11-11,-3348.0
2019-11-12,-14220.0
2019-11-13,-3411.0
2019-11-14,-14046.0
2019-11-15,-1441.0
2019-11-18,0.0
2019-11-19,-1472.0
2019-11-20,-3245.0
2019-11-21,-10781.0
2019-11-22,0.0
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,-7305.0
2019-11-28,-4280.0
2019-11-29,2139.0
2019-11-30,0.0
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,-2088.0
2019-12-09,0.0
2019-12-10,3927.0
2019-12-11,0.0
2019-12-12,0.0
2019-12-13,-12756.0
2019-12-14,0.0
2019-12-16,-9990.0
2019-12-17,-206.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.0
2019-12-21,3848.0
2019-12-22,-7.0
2019-12-23,-2.0
2019-12-24,2110.0
2019-12-25,-4204.0
2019-12-26,0.0
2019-12-27,-1906.0
2019-12-28,2000.0
2019-12-30,0.0
2019-12-31,4654.0
2020-01-01,2022.0
2020-01-02,0.0
2020-01-03,-2149.0
2020-01-04,1801.0
2020-01-06,0.0
2020-01-07,2741.0
2020-01-08,1183.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-13,-1932.0
2020-01-14,-2044.0
2020-01-15,-2725.0
2020-01-16,0.0
2020-01-17,-6328.0
2020-01-18,3313.0
2020-01-20,0.0
2020-01-21,2667.0
2020-01-22,2884.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-31,0.0
2020-02-03,0.0
2020-02-04,-2136.0
2020-02-05,0.0
2020-02-06,3676.0
2020-02-07,0.0
2020-02-08,1796.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,-3574.0
2020-02-12,-1867.0
2020-02-13,1472.0
2020-02-14,8456.0
2020-02-15,0.0
2020-02-16,1536.0
